time,Muttonpulao_02_CCK,Cholebhature_01_CCK,Curdrice_01_CCK,Lemonrice_01_CCK,Pasta_01_CCK,Masaladosa_01_CCK,Vegetable_Biryani_01_CCK,Rice_01_CCK,Paneer_01_CCK,Milk_Chocolate_01_CCK,Peanuts_01_CCK,Curd_01_CCK,Bread_Meal_01_CCK,Chickensandwich_01_CCK,Apple_Pineapplesalad_01_CCK,Spinach_01_CCK,Bread_Meal_02_CCK,Orange_01_CCK,Omelette_01_CCK
1.01,0.14954,0.16393,0.06661,0.11759,0.00532,0.09484,0.13082,0.0053,0.22159,0.00537,0.00605,0.00589,0.00533,0.1359,0.02051,0.00556,0.00533,0.00538,0.14357
2.01,5.30062,6.4589,2.24593,3.47459,0.01254,3.29845,4.28619,0.01038,8.52716,0.01831,0.02403,0.02652,0.01363,4.27527,0.42491,0.01367,0.01363,0.00903,4.43967
3.01,22.21286,28.03065,10.67752,14.2661,0.05093,13.99956,19.21457,0.04012,35.42613,0.11129,0.0956,0.12078,0.05829,18.10853,2.00178,0.04644,0.05829,0.02532,19.08871
4.01,48.24744,59.56196,24.22427,30.21201,0.13994,29.69883,41.94433,0.10925,72.18427,0.39188,0.25657,0.3356,0.16399,38.88275,4.84016,0.11462,0.16399,0.06013,40.24732
5.01,78.92037,92.52654,38.91857,47.78941,0.2933,46.35084,66.03132,0.22545,106.83434,0.95628,0.53352,0.6945,0.34721,61.58402,8.3694,0.22326,0.34721,0.11472,60.87892
6.01,111.345,123.351,52.28593,64.83365,0.52267,61.46223,88.26704,0.39352,133.61969,1.84781,0.9402,1.19641,0.62209,82.81193,11.95795,0.37301,0.62209,0.18645,77.11029
7.01,143.52387,150.87808,63.81777,80.39741,0.83831,73.9987,108.31014,0.61531,151.34163,3.04225,1.47808,1.81787,1.00031,101.02771,15.17294,0.56064,1.00031,0.26966,88.08779
8.01,173.35089,173.10907,73.85271,94.23866,1.24806,83.66195,125.95333,0.88974,161.41084,4.46895,2.13711,2.5143,1.48813,115.81706,17.81118,0.7795,1.48813,0.35764,93.88579
9.01,199.22898,188.86481,82.69524,106.33196,1.7554,90.4864,139.87927,1.21242,166.00994,6.04278,2.89895,3.23998,2.08509,127.18609,19.85085,1.0197,2.08509,0.44491,94.81129
10.01,220.32308,197.78945,90.21883,116.54568,2.35829,94.75476,149.04802,1.57664,167.27217,7.68682,3.74184,3.95106,2.78665,135.34422,21.37228,1.26855,2.78665,0.52824,92.2826
11.01,236.16056,200.24263,96.10769,124.54548,3.0518,96.93399,153.43637,1.97467,167.03916,9.34091,4.64556,4.6071,3.58765,140.67195,22.48895,1.51264,3.58765,0.60613,88.36799
12.01,246.6465,197.67791,100.09224,130.06948,3.83134,97.57618,153.93281,2.39839,166.67255,10.95915,5.59451,5.18408,4.48358,143.6845,23.30741,1.74157,4.48358,0.67784,84.78062
13.01,252.21443,192.41729,102.01995,133.35677,4.6922,97.21722,152.03615,2.84052,166.9355,12.51435,6.57883,5.6744,5.47054,144.96281,23.91263,1.94897,5.47054,0.74295,82.38869
14.01,253.81092,186.84216,102.2742,135.04787,5.62968,96.30092,149.2809,3.29541,168.0283,13.99969,7.59389,6.07146,6.54609,145.06976,24.36697,2.13056,6.54609,0.80117,81.29825
15.01,252.68278,182.60142,101.64666,135.85861,6.6405,95.14337,146.76766,3.7612,169.76698,15.41774,8.63889,6.37067,7.70982,144.481,24.71402,2.28256,7.70982,0.85228,81.18686
16.01,250.07732,180.33042,100.84628,136.3734,7.72322,93.93652,145.04705,4.23681,171.8081,16.77312,9.71548,6.57786,8.96219,143.55062,24.98258,2.40235,8.96219,0.89626,81.62569
17.01,246.99217,179.87913,100.20656,136.96879,8.87477,92.77935,144.23629,4.72021,173.8367,18.07114,10.82657,6.70933,10.30278,142.51034,25.19039,2.49069,10.30278,0.93327,82.26935
18.01,244.06071,180.72037,99.72843,137.82395,10.09033,91.7133,144.20566,5.2086,175.6618,19.31268,11.97526,6.78764,11.73045,141.48947,25.34809,2.55183,11.73045,0.96359,82.91089
19.01,241.57316,182.28766,99.30001,138.97384,11.36469,90.74779,144.73863,5.69952,177.2186,20.49384,13.16424,6.83224,13.24436,140.5463,25.46335,2.59106,13.24436,0.98755,83.46227
20.01,239.587,184.14982,98.86492,140.36583,12.69163,89.87721,145.62938,6.19187,178.52464,21.60782,14.39552,6.85654,14.84298,139.69684,25.54318,2.61308,14.84298,1.00552,83.91194
