time,Muttonpulao_02_fullness,Cholebhature_01_fullness,Curdrice_01_fullness,Lemonrice_01_fullness,Pasta_01_fullness,Masaladosa_01_fullness,Vegetable_Biryani_01_fullness,Rice_01_fullness,Paneer_01_fullness,Milk_Chocolate_01_fullness,Peanuts_01_fullness,Curd_01_fullness,Bread_Meal_01_fullness,Chickensandwich_01_fullness,Apple_Pineapplesalad_01_fullness,Spinach_01_fullness,Bread_Meal_02_fullness,Orange_01_fullness,Omelette_01_fullness
1.01,1.23572,1.20765,1.29426,1.27942,1.01597,1.20531,1.28798,1.00109,1.21017,1.00778,1.25681,1.12016,1.00861,1.31259,1.33198,1.30522,1.00861,1.28178,1.24437
2.01,1.39784,1.39091,1.52922,1.54925,1.16936,1.37899,1.44878,1.30334,1.3769,1.18184,1.99039,1.52218,1.16021,1.50487,1.78322,1.93684,1.16021,1.96311,1.51142
3.01,1.74603,1.61288,1.76517,1.84659,1.32065,1.64757,1.73468,1.41244,1.62059,1.4917,2.52444,1.99147,1.44592,1.78906,2.00388,2.09481,1.44592,2.1186,1.75827
4.01,2.11654,1.9669,2.11438,2.24799,1.598,1.93951,2.10594,1.64717,1.98235,1.56245,2.55645,2.07264,1.685,2.23297,2.24106,1.98583,1.685,2.02877,1.8838
5.01,2.58663,2.34079,2.43796,2.67978,1.66903,2.31893,2.44306,1.84851,2.36186,1.71455,2.34242,1.94286,1.73402,2.64384,2.27471,1.87228,1.73402,1.93833,1.91049
6.01,3.01288,2.66202,2.60214,3.12479,1.73325,2.4046,2.84809,1.87798,2.64296,1.72336,2.15928,1.83528,1.89493,2.90709,2.24484,1.76455,1.89493,1.85136,1.9465
7.01,3.51982,3.01365,2.6426,3.3193,1.90432,2.45831,3.00202,2.03183,2.71206,1.86004,2.01938,1.75754,1.91155,2.99982,2.24128,1.67015,1.91155,1.77259,1.98421
8.01,3.71076,3.08753,2.68464,3.39473,1.92832,2.50228,3.059,2.17346,2.77918,1.91047,1.91983,1.7066,2.03809,3.07469,2.25053,1.59115,2.03809,1.70424,2.02231
9.01,3.85599,3.15885,2.72702,3.45168,2.078,2.54798,3.11536,2.19088,2.8446,2.07237,1.85139,1.67563,2.16302,3.13588,2.26519,1.54052,2.16302,1.66142,2.06034
10.01,3.972,3.22406,2.76559,3.49198,2.1159,2.57594,3.16676,2.32593,2.90448,2.14795,1.80243,1.65593,2.18609,3.18256,2.2796,1.48793,2.18609,1.6103,2.0955
11.01,4.06132,3.28121,2.79848,3.52673,2.14757,2.59514,3.22202,2.45745,2.95702,2.31579,1.76526,1.6422,2.31341,3.21544,2.29103,1.44451,2.31341,1.56409,2.12588
12.01,4.13974,3.33304,2.8281,3.5437,2.2913,2.60906,3.26527,2.52623,3.00472,2.48479,1.74714,1.63297,2.44073,3.23925,2.30104,1.40901,2.44073,1.52319,2.16221
13.01,4.1908,3.37814,2.85346,3.55229,2.33994,2.61755,3.30251,2.46111,3.04654,2.56199,1.72447,1.62609,2.47567,3.25426,2.30867,1.37908,2.47567,1.48627,2.18569
14.01,4.22294,3.4144,2.88158,3.55231,2.37723,2.6199,3.33165,2.4031,3.08088,2.71698,1.70512,1.61999,2.59932,3.26878,2.32049,1.35281,2.59932,1.4521,2.20439
15.01,4.33948,3.5291,2.96372,3.63729,2.50454,2.6925,3.43065,2.41863,3.18376,2.77514,1.72694,1.65784,2.7206,3.34996,2.37567,1.35757,2.7206,1.46777,2.267
16.01,4.38996,3.58686,3.00269,3.66119,2.66609,2.71203,3.4818,2.3909,3.23729,2.78515,1.72425,1.66487,2.78417,3.37533,2.39319,1.35617,2.78417,1.447,2.30014
17.01,4.43507,3.64273,3.04074,3.68424,2.73115,2.73085,3.53149,2.36967,3.2894,2.79679,1.72429,1.67285,2.93357,3.39906,2.41054,1.3458,2.93357,1.4289,2.33291
18.01,4.47565,3.69677,3.07789,3.71561,2.80776,2.74912,3.58865,2.36384,3.34014,2.80996,1.72626,1.68125,3.08586,3.42155,2.42768,1.33747,3.08586,1.41311,2.36505
19.01,4.52152,3.75016,3.11444,3.73894,2.97274,2.76697,3.63541,2.35155,3.3896,2.82398,1.73925,1.68982,3.15439,3.44317,2.44483,1.33063,3.15439,1.39929,2.40561
20.01,4.55555,3.80429,3.15013,3.7604,3.04462,2.78446,3.68095,2.34264,3.43782,2.84785,1.74406,1.69852,3.31028,3.46413,2.46163,1.32479,3.31028,1.38699,2.43666
21.01,4.5873,3.85695,3.19397,3.78388,3.12928,2.80168,3.72534,2.33642,3.48486,2.86298,1.75015,1.717,3.46705,3.49342,2.48728,1.31966,3.46705,1.37607,2.46728
22.01,4.61722,3.90821,3.22807,3.80842,3.295,2.81873,3.76866,2.33246,3.53078,2.87857,1.75735,1.72499,3.54074,3.51321,2.5034,1.31517,3.54074,1.36648,2.49745
23.01,4.64566,3.95815,3.26148,3.83289,3.37086,2.83563,3.81093,2.33035,3.57563,2.89462,1.76549,1.73261,3.63978,3.53266,2.51925,1.31124,3.69897,1.35807,2.527
24.01,4.67292,4.0068,3.29424,3.85733,3.51965,2.85239,3.85226,2.32994,3.61946,2.91101,1.77437,1.73981,3.65454,3.55184,2.53484,1.30767,3.77702,1.35073,2.55575
25.01,4.6993,4.05425,3.32636,3.88173,3.55309,2.86903,3.89272,2.33107,3.66232,2.92769,1.78394,1.74665,3.66703,3.57081,2.55014,1.30451,3.93682,1.34431,2.58397
26.01,4.72497,4.10054,3.35789,3.90609,3.57862,2.88553,3.93233,2.33352,3.70425,2.9446,1.79417,1.7531,3.68028,3.58958,2.56527,1.30168,4.09754,1.3387,2.61176
27.01,4.74474,4.14077,3.38451,3.92558,3.57731,2.89794,3.96629,2.33406,3.74078,2.95774,1.80265,1.75692,3.68059,3.60368,2.57696,1.29748,4.17236,1.33216,2.63566
28.01,4.75627,4.17298,3.40434,3.93796,3.58007,2.90472,3.99245,2.33123,3.77007,2.96538,1.80839,1.75729,3.67606,3.61118,2.5836,1.29147,4.32215,1.32413,2.65423
29.01,4.76298,4.20011,3.42038,3.94688,3.571,2.90864,4.01396,2.32715,3.80393,2.97022,1.81304,1.75596,3.66927,3.61516,2.58758,1.28483,4.38905,1.31591,2.67004
30.01,4.76304,4.22055,3.43134,3.95032,3.55843,2.90869,4.02917,2.321,3.8229,2.97117,1.81607,1.75247,3.65864,3.61424,2.58795,1.27744,4.52823,1.30724,2.68211
31.01,4.75399,4.23161,3.43522,3.94586,3.54022,2.90337,4.03572,2.31182,3.83386,2.96679,1.81679,1.74623,3.6421,3.60632,2.58342,1.26885,4.65758,1.29781,2.68909
32.01,4.86831,4.34766,3.53085,4.04724,3.62217,2.97914,4.1458,2.36725,3.9295,3.04372,1.86441,1.78811,3.72772,3.69748,2.65219,1.29276,4.8329,1.32348,2.76751
33.01,4.89468,4.38781,3.55943,4.07147,3.63054,2.9947,4.18096,2.37458,3.96634,3.06038,1.87746,1.79267,3.73864,3.71568,2.6658,1.29105,4.91905,1.32189,2.79357
34.01,4.92091,4.42719,3.58769,4.09558,3.63958,3.01013,4.21554,2.38223,4.00266,3.07699,1.89072,1.79698,3.75035,3.73386,2.67924,1.28939,5.08418,1.32064,2.81927
35.01,4.947,4.46583,3.61564,4.1195,3.64909,3.02542,4.24956,2.39024,4.03845,3.09349,1.90419,1.80114,3.76253,3.75203,2.69252,1.2878,5.25002,1.31979,2.84463
36.01,4.97299,4.50381,3.64326,4.14323,3.65897,3.04059,4.28305,2.39858,4.08257,3.10984,1.9178,1.8051,3.77523,3.77016,2.70563,1.28632,5.336,1.31939,2.86961
37.01,4.99887,4.54124,3.67058,4.16684,3.6692,3.05567,4.31604,2.40715,4.1171,3.12606,1.93153,1.80884,3.78834,3.78826,2.71857,1.28502,5.50314,1.31944,2.89428
38.01,5.02467,4.58693,3.69759,4.19036,3.67968,3.07066,4.34856,2.416,4.15112,3.14214,1.94534,1.81234,3.80183,3.80631,2.73137,1.28383,5.67081,1.31989,2.91865
39.01,5.05039,4.62295,3.7243,4.21377,3.69028,3.0856,4.38063,2.42506,4.18466,3.15807,1.95928,1.81564,3.81563,3.82432,2.74409,1.28278,5.75779,1.32075,2.94277
40.01,5.07605,4.65838,3.75073,4.23708,3.70097,3.10073,4.41227,2.43436,4.21772,3.17389,1.9733,1.81869,3.82964,3.8423,2.75666,1.2822,5.92488,1.32243,2.96667
41.01,5.10164,4.69326,3.77687,4.26028,3.71172,3.11572,4.44349,2.44388,4.25029,3.18961,1.98734,1.82151,3.84371,3.86024,2.76915,1.28157,6.01316,1.32422,2.99038
42.01,5.12718,4.7276,3.80258,4.28351,3.72242,3.13952,4.47437,2.45366,4.28245,3.20524,2.00146,1.82415,3.85771,3.87814,2.78146,1.29294,6.18109,1.34034,3.01391
43.01,5.15279,4.7614,3.82788,4.30667,3.73306,3.15419,4.50498,2.46375,4.31423,3.22077,2.01579,1.8266,3.87159,3.89601,2.79358,1.29229,6.34871,1.34256,3.03744
44.01,5.17278,4.78935,3.84801,4.33351,3.73894,3.16465,4.5389,2.48006,4.34066,3.23216,2.02745,1.8264,3.88045,3.90903,2.80163,1.2903,6.4306,1.34348,3.0567
45.01,5.19341,4.80899,3.86099,4.34367,3.73802,3.16911,4.55573,2.48233,4.35944,3.23748,2.04432,1.82262,3.88211,3.91497,2.80419,1.28641,6.52606,1.34252,3.0789
46.01,5.20021,4.82371,3.87007,4.34948,3.73348,3.17049,4.5679,2.48254,4.37384,3.24872,2.05015,1.8171,3.87983,3.91686,2.80406,1.28179,6.53296,1.34078,3.08887
47.01,5.1999,4.83145,3.88253,4.34917,3.72395,3.16761,4.5735,2.47995,4.3821,3.24645,2.05361,1.80968,3.87215,3.92225,2.80936,1.27615,6.5271,1.33803,3.0945
48.01,5.18871,4.82882,3.87793,4.3399,3.70736,3.15888,4.56942,2.47344,4.38147,3.23823,2.05381,1.80937,3.86606,3.91059,2.8003,1.2693,6.50631,1.33406,3.0941
49.01,5.29909,4.94784,3.96888,4.43725,3.79429,3.23924,4.67415,2.52688,4.49067,3.31014,2.09903,1.84016,3.94812,3.9968,2.86288,1.29526,6.63288,1.36581,3.16922
50.01,5.32438,4.97886,3.99238,4.45937,3.80407,3.25349,4.70263,2.5384,4.5202,3.32509,2.11336,1.84133,3.95994,4.01338,2.87438,1.29541,6.64609,1.36981,3.19153
51.01,5.34957,5.00955,4.01558,4.49029,3.81373,3.26767,4.73975,2.55939,4.54944,3.34017,2.12761,1.84227,3.97145,4.02984,2.88576,1.29571,6.65935,1.37404,3.21361
52.01,5.38361,5.03993,4.03877,4.51207,3.82327,3.28179,4.76756,2.57099,4.57842,3.35506,2.15087,1.84312,3.98265,4.04634,2.89721,1.29614,6.67264,1.37852,3.24447
