time,Muttonpulao_02_serum_glucose_mg_dl,Cholebhature_01_serum_glucose_mg_dl,Curdrice_01_serum_glucose_mg_dl,Lemonrice_01_serum_glucose_mg_dl,Pasta_01_serum_glucose_mg_dl,Masaladosa_01_serum_glucose_mg_dl,Vegetable_Biryani_01_serum_glucose_mg_dl,Rapid_starch_01_serum_glucose_mg_dl,Chickenbreast_01_serum_glucose_mg_dl,Rice_01_serum_glucose_mg_dl,Eggwhite_01_serum_glucose_mg_dl,Paneer_01_serum_glucose_mg_dl,Milk_Chocolate_01_serum_glucose_mg_dl,Peanuts_01_serum_glucose_mg_dl,Curd_01_serum_glucose_mg_dl,Glucose_01_serum_glucose_mg_dl,Biscuit_01_serum_glucose_mg_dl,Glucose_02_serum_glucose_mg_dl,Bread_Meal_01_100_serum_glucose_mg_dl,Chickensandwich_01_serum_glucose_mg_dl,Ghee_01_serum_glucose_mg_dl,Apple_Pineapplesalad_01_serum_glucose_mg_dl,Spinach_01_serum_glucose_mg_dl,Bread_meal_02_serum_glucose_mg_dl,Orange_01_serum_glucose_mg_dl,Omelette_01_serum_glucose_mg_dl,Muttonpulao_01_serum_glucose_mg_dl,Arabinose_01_serum_glucose_mg_dl
1.01,84.94921,84.95095,84.95708,84.9557,84.93318,84.94918,84.95837,84.93303,84.93299,84.93314,84.93299,84.93778,84.93301,84.93397,84.93369,85.26315,84.93299,85.26315,84.93319,84.95134,84.93299,84.94454,84.93308,84.93319,84.93569,84.93945,84.9557,84.93299
2.01,85.23208,85.2582,85.27289,85.21716,85.08492,85.15507,85.28363,85.02347,84.93299,85.04758,84.93299,85.03051,84.9522,84.96481,84.95687,86.78484,84.93327,86.78484,85.09312,85.20823,84.93299,85.13602,84.93534,85.09312,84.99522,85.03985,85.21716,84.93299
3.01,85.93504,86.01815,86.01045,85.82803,85.63893,85.57889,86.0549,85.51112,84.93299,85.52456,84.93299,85.26322,85.07554,85.07712,85.03944,89.43496,84.94152,89.4361,85.68205,85.78663,84.93299,85.6725,84.94415,85.68205,85.19427,85.27984,85.82803,84.93299
4.01,87.06043,87.24769,87.15619,86.78569,86.63312,86.1425,87.27875,86.56807,84.93299,86.4384,84.93299,85.6436,85.39719,85.30417,85.19345,93.02567,84.98073,93.03676,86.76917,86.60524,84.93299,86.56973,84.96161,86.76917,85.56701,85.66818,86.78569,84.93299
5.01,88.56069,88.92897,88.70777,88.05716,88.06461,86.77556,88.95561,88.26692,84.93299,87.79628,84.93299,86.14415,85.97205,85.66095,85.40285,97.33005,85.08163,97.36805,88.37283,87.5641,84.93299,87.7769,84.9875,88.37283,86.10918,86.21321,88.05716,84.93299
6.01,90.34354,90.95246,90.66877,89.61255,89.9126,87.4532,91.05067,90.58488,84.93299,89.58224,84.93299,86.67268,86.81042,86.14544,85.63661,102.13575,85.27786,102.22752,90.45821,88.59133,84.93299,89.23197,85.02079,90.45821,86.80494,86.90497,89.61255,84.93299
7.01,92.28066,93.08946,93.01045,91.42124,92.13516,88.15776,93.44902,93.46289,84.93299,91.76562,84.93299,87.16267,87.88777,86.74359,85.87228,107.26881,85.60459,107.45601,92.96019,89.64669,84.93299,90.87922,85.06008,92.96019,87.63514,87.67889,91.42124,84.93298
8.01,94.26969,95.16664,95.6675,93.44928,94.67603,88.86737,95.97616,96.82749,84.93299,94.30672,84.93299,87.59521,89.15685,87.43382,86.09756,112.54363,86.09651,112.87732,95.80708,90.70584,84.93299,92.67108,85.10373,95.80708,88.57885,88.41411,93.44928,84.93297
9.01,96.25037,97.07447,98.53735,95.65988,97.47261,89.56392,98.49517,100.59015,84.93299,97.16214,84.93299,87.97252,90.55853,88.19069,86.3071,117.64976,86.78215,118.16947,98.92922,91.74998,84.93299,94.56652,85.15012,98.92922,89.61403,89.04125,95.65988,84.93296
10.01,98.17645,98.7434,101.50116,98.00543,100.46087,90.23794,100.91254,104.64887,84.93299,100.286,84.93299,88.30439,92.03101,88.98808,86.49915,122.25458,87.68389,122.9904,102.25763,92.76263,84.93299,96.52855,85.19779,102.25763,90.71927,89.55818,98.00543,84.93294
11.01,100.0047,100.15023,104.44245,100.42718,103.57351,90.88629,103.14403,108.87979,84.93299,103.62483,84.93299,88.60133,93.51734,89.80174,86.67371,126.54258,88.81921,127.54266,105.71464,93.72984,84.93299,98.52138,85.24554,105.71464,91.87499,89.98852,100.42718,84.93292
12.01,101.68934,101.29957,107.21577,102.87087,106.73039,91.5076,105.10144,113.10507,84.93299,107.10681,84.93299,88.8719,94.97017,90.61118,86.83196,130.75152,90.1998,132.03393,109.19592,94.64041,84.93299,100.50758,85.29236,109.19592,93.06309,90.35746,102.87087,84.93289
13.01,103.17851,102.20389,109.65102,105.27381,109.82118,92.09929,106.6871,117.06444,84.93299,110.6224,84.93299,89.12197,96.35272,91.40035,86.97573,134.85408,91.82969,136.40967,112.54583,95.48543,84.93299,102.44486,85.33748,112.54583,94.2661,90.6842,105.27381,84.93286
14.01,104.41511,102.87574,111.58402,107.54343,112.69294,92.65698,107.81821,120.58897,84.93299,114.0058,84.93299,89.355,97.63751,92.15719,87.10712,138.69515,93.70629,140.55651,115.57161,96.25709,84.93299,104.28265,85.38035,115.57161,95.46684,90.98083,107.54343,84.93283
15.01,105.3462,103.32881,112.94185,109.56358,115.19388,93.17554,108.47666,123.83944,84.93299,117.09088,84.93299,89.57265,98.80408,92.87273,87.22813,142.02306,95.82157,144.3509,118.18844,96.94756,84.93299,105.95974,85.4206,118.18844,96.64848,91.25366,109.56358,84.93279
16.01,105.94134,103.58147,113.79519,111.25292,117.29861,93.65038,108.73015,127.00168,84.93298,119.88405,84.93299,89.77553,99.83617,93.54006,87.34042,144.66999,98.16018,147.66538,120.51539,97.54828,84.93299,107.40687,85.45799,120.51539,97.79449,91.5053,111.25292,84.93275
