time,Muttonpulao_02_calories absorbed,Cholebhature_01_calories absorbed,Curdrice_01_calories absorbed,Lemonrice_01_calories absorbed,Pasta_01_calories absorbed,Masaladosa_01_calories absorbed,Vegetable_Biryani_01_calories absorbed,Rapid_starch_01_calories absorbed,Chickenbreast_01_calories absorbed,Rice_01_calories absorbed,Eggwhite_01_calories absorbed,Paneer_01_calories absorbed,Milk_Chocolate_01_calories absorbed,Peanuts_01_calories absorbed,Curd_01_calories absorbed,Glucose_01_calories absorbed,Biscuit_01_calories absorbed,Glucose_02_calories absorbed,Bread_Meal_01_100_calories absorbed,Chickensandwich_01_calories absorbed,Ghee_01_calories absorbed,Apple_Pineapplesalad_01_calories absorbed,Spinach_01_calories absorbed,Bread_meal_02_calories absorbed,Orange_01_calories absorbed,Omelette_01_calories absorbed,Muttonpulao_01_calories absorbed,Arabinose_01_calories absorbed
1.01,0.12898,0.13962,0.1362,0.13137,0.00543,0.11091,0.15017,0.00144,0.00047,0.00422,0.00042,0.09001,0.00098,0.00737,0.00628,1.02572,0.00042,1.02572,0.00573,0.12464,0.00042,0.06381,0.00127,0.00573,0.01651,0.07334,0.13137,0.00042
2.01,0.83237,0.91816,0.80173,0.72735,0.40365,0.61814,0.88562,0.28683,0.00098,0.32169,0.00085,0.64132,0.0653,0.08414,0.06637,2.97735,0.00247,2.97736,0.42627,0.75387,0.00085,0.47009,0.01103,0.42627,0.14834,0.5132,0.72735,0.00084
3.01,1.8908,2.09071,1.80321,1.64697,1.11019,1.34783,2.00045,1.01725,0.00149,0.97262,0.00127,1.48258,0.2899,0.25204,0.1953,5.33284,0.0237,5.3371,1.1874,1.65383,0.00127,1.16185,0.03424,1.1874,0.414,1.21817,1.64697,0.00126
4.01,3.20617,3.54141,3.05414,2.78691,2.05109,2.17533,3.39299,2.15714,0.00197,1.87546,0.0017,2.49753,0.70596,0.51313,0.3828,7.98481,0.08804,8.00712,2.24804,2.70133,0.0017,2.05033,0.07215,2.24804,0.78063,2.09728,2.78691,0.00167
5.01,4.71007,5.1945,4.54072,4.11179,3.2135,3.09448,5.02209,3.64488,0.00245,3.00614,0.00213,3.60879,1.30318,0.8635,0.60312,10.81593,0.21518,10.87224,3.5723,3.84524,0.00213,3.07761,0.12637,3.5723,1.22713,3.10235,4.11179,0.00209
6.01,6.33611,6.92598,6.24028,5.60303,4.57279,4.09909,6.8223,5.41181,0.00291,4.34511,0.00257,4.75977,2.05271,1.29366,0.84436,13.78558,0.42459,13.90303,5.10571,5.07164,0.00257,4.2124,0.19819,5.10571,1.74167,4.18856,5.60303,0.00251
7.01,8.03401,8.6322,8.11037,7.24088,6.09619,5.16309,8.69658,7.42095,0.00339,5.87168,0.00301,5.93347,2.91844,1.79221,1.10459,16.88681,0.73576,17.10362,6.80822,6.37086,0.00301,5.4329,0.28819,6.80822,2.31422,5.28663,7.24088,0.00293
8.01,9.79437,10.30542,10.10152,9.00773,7.75399,6.2641,10.57908,9.63324,0.00386,7.56785,0.00346,7.12355,3.86427,2.34661,1.38368,20.11644,1.16369,20.47123,8.65353,7.72906,0.00346,6.72265,0.39603,8.65353,2.93413,6.34234,9.00773,0.00336
9.01,11.60759,11.92782,12.15636,10.8859,9.52274,7.39147,12.45687,12.00946,0.00435,9.42027,0.00391,8.32714,4.85814,2.94491,1.68035,23.46656,1.71797,23.98673,10.62309,9.13142,0.00391,8.06889,0.5205,10.62309,3.59175,7.35667,10.8859,0.00379
10.01,13.46028,13.5033,14.24232,12.8524,11.38499,8.54104,14.31237,14.51817,0.00484,11.41788,0.00438,9.54338,5.87542,3.57723,1.9915,26.92392,2.40639,27.6219,12.7015,10.56562,0.00438,9.46108,0.65972,12.7015,4.27967,8.34878,12.8524,0.00423
11.01,15.33936,15.04838,16.32902,14.89126,13.32695,9.70958,16.12895,17.13607,0.00535,13.54947,0.00486,10.77279,6.89992,4.23658,2.31432,30.47236,3.23645,31.35185,14.87426,12.0231,0.00486,10.88976,0.81172,14.87426,4.99201,9.33594,14.89126,0.00467
