time,Muttonpulao_02_fatty acids absorbed,Cholebhature_01_fatty acids absorbed,Curdrice_01_fatty acids absorbed,Lemonrice_01_fatty acids absorbed,Pasta_01_fatty acids absorbed,Masaladosa_01_fatty acids absorbed,Vegetable_Biryani_01_fatty acids absorbed,Rapid_starch_01_fatty acids absorbed,Chickenbreast_01_fatty acids absorbed,Rice_01_fatty acids absorbed,Eggwhite_01_fatty acids absorbed,Paneer_01_fatty acids absorbed,Milk_Chocolate_01_fatty acids absorbed,Peanuts_01_fatty acids absorbed,Curd_01_fatty acids absorbed,Glucose_01_fatty acids absorbed,Biscuit_01_fatty acids absorbed,Glucose_02_fatty acids absorbed,Bread_Meal_01_100_fatty acids absorbed,Chickensandwich_01_fatty acids absorbed,Ghee_01_fatty acids absorbed,Apple_Pineapplesalad_01_fatty acids absorbed,Spinach_01_fatty acids absorbed,Bread_meal_02_fatty acids absorbed,Orange_01_fatty acids absorbed,Omelette_01_fatty acids absorbed,Muttonpulao_01_fatty acids absorbed,Arabinose_01_fatty acids absorbed
1.01,9e-05,0.0001,4e-05,7e-05,0.0,7e-05,7e-05,0.0,0.0,0.0,0.0,0.00019,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7e-05,0.0,0.0,0.0,0.0,0,0.0001,7e-05,0
2.01,0.0002,0.00024,0.00013,0.00019,0.0,0.00023,0.0002,0.0,0.0,0.0,0.0,0.00043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00019,0.0,2e-05,0.0,0.0,0,0.00028,0.00019,0
3.01,0.00025,0.00029,0.00019,0.00025,0.0,0.00033,0.00025,0.0,0.0,0.0,0.0,0.00053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00029,0.0,3e-05,0.0,0.0,0,0.00037,0.00025,0
4.01,0.00029,0.00029,0.00021,0.00028,0.0,0.0004,0.00026,0.0,0.0,0.0,0.0,0.00057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00036,0.0,4e-05,0.0,0.0,0,0.0004,0.00028,0
5.01,0.00033,0.0003,0.0002,0.00031,0.0,0.00045,0.00025,0.0,0.0,0.0,0.0,0.00064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00042,0.0,4e-05,0.0,0.0,0,0.00039,0.00031,0
6.01,0.00039,0.00038,0.00019,0.00033,0.0,0.00048,0.00026,0.0,0.0,0.0,0.0,0.00069,1e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.00047,0.0,4e-05,0.0,0.0,0,0.0004,0.00033,0
7.01,0.00046,0.00044,0.00019,0.00034,0.0,0.00051,0.00031,0.0,0.0,0.0,0.0,0.0007,1e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,4e-05,0.0,0.0,0,0.00043,0.00034,0
8.01,0.00051,0.00049,0.00019,0.00035,0.0,0.00052,0.00035,0.0,0.0,0.0,0.0,0.0007,2e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.00053,0.0,4e-05,0.0,0.0,0,0.00044,0.00035,0
9.01,0.00055,0.00053,0.00021,0.00037,0.0,0.00052,0.00037,0.0,0.0,0.0,0.0,0.00069,2e-05,1e-05,0.0,0.0,0.0,0.0,0.0,0.00054,0.0,4e-05,0.0,0.0,0,0.00041,0.00037,0
10.01,0.00058,0.00054,0.00022,0.00038,0.0,0.00052,0.00039,0.0,0.0,0.0,0.0,0.00067,3e-05,2e-05,0.0,0.0,0.0,0.0,0.0,0.00054,0.0,4e-05,0.0,0.0,0,0.00038,0.00038,0
11.01,0.0006,0.00054,0.00023,0.00039,1e-05,0.00052,0.00039,0.0,0.0,0.0,0.0,0.00065,4e-05,2e-05,1e-05,0.0,0.0,0.0,1e-05,0.00054,0.0,4e-05,0.0,1e-05,0,0.00036,0.00039,0
12.01,0.0006,0.00052,0.00023,0.00038,1e-05,0.00051,0.00038,0.0,0.0,0.0,0.0,0.00064,5e-05,2e-05,1e-05,0.0,0.0,0.0,1e-05,0.00054,0.0,4e-05,0.0,1e-05,0,0.00035,0.00038,0
13.01,0.0006,0.00049,0.00023,0.00037,1e-05,0.00051,0.00037,0.0,0.0,0.0,0.0,0.00062,6e-05,3e-05,1e-05,0.0,0.0,0.0,1e-05,0.00053,0.0,4e-05,0.0,1e-05,0,0.00035,0.00037,0
14.01,0.00058,0.00046,0.00022,0.00036,1e-05,0.0005,0.00036,0.0,0.0,0.0,0.0,0.00061,7e-05,4e-05,1e-05,0.0,0.0,0.0,1e-05,0.00052,0.0,4e-05,0.0,1e-05,0,0.00034,0.00036,0
15.01,0.00057,0.00043,0.00022,0.00035,1e-05,0.0005,0.00034,0.0,0.0,0.0,0.0,0.0006,8e-05,5e-05,1e-05,0.0,0.0,0.0,1e-05,0.00051,0.0,4e-05,0.0,1e-05,0,0.00034,0.00035,0
16.01,0.00054,0.0004,0.00022,0.00034,1e-05,0.0005,0.00033,0.0,0.0,0.0,0.0,0.00059,9e-05,6e-05,1e-05,0.0,0.0,0.0,1e-05,0.0005,0.0,4e-05,0.0,1e-05,0,0.00034,0.00034,0
17.01,0.00053,0.00039,0.00022,0.00033,2e-05,0.00049,0.00032,0.0,0.0,0.0,0.0,0.00058,0.0001,7e-05,1e-05,0.0,0.0,0.0,2e-05,0.00048,0.0,4e-05,0.0,2e-05,0,0.00034,0.00033,0
18.01,0.00051,0.00038,0.00021,0.00033,2e-05,0.00049,0.00032,0.0,0.0,0.0,0.0,0.00058,0.00012,8e-05,1e-05,0.0,0.0,0.0,2e-05,0.00047,0.0,4e-05,0.0,2e-05,0,0.00034,0.00033,0
19.01,0.0005,0.00038,0.00021,0.00033,2e-05,0.00048,0.00032,0.0,0.0,0.0,0.0,0.00058,0.00013,9e-05,1e-05,0.0,0.0,0.0,2e-05,0.00047,0.0,4e-05,0.0,2e-05,0,0.00034,0.00033,0
20.01,0.0005,0.00039,0.00021,0.00033,3e-05,0.00048,0.00032,0.0,0.0,0.0,0.0,0.00059,0.00014,0.0001,2e-05,,0.0,0.0,3e-05,0.00046,0.0,4e-05,0.0,3e-05,0,0.00035,0.00033,0
21.01,0.00051,0.0004,0.00021,0.00033,3e-05,0.00047,0.00033,0.0,0.0,0.0,0.0,0.0006,0.00015,0.00012,2e-05,,0.0,0.0,3e-05,0.00045,0.0,4e-05,0.0,3e-05,0,0.00035,0.00033,0
22.01,0.00053,0.00043,0.00021,0.00033,4e-05,0.00046,0.00034,0.0,0.0,0.0,0.0,0.00062,0.00016,0.00013,2e-05,,0.0,0.0,4e-05,0.00045,0.0,4e-05,0.0,4e-05,0,0.00035,0.00033,0
23.01,0.00056,0.00047,0.00021,0.00034,4e-05,0.00046,0.00036,0.0,0.0,0.0,0.0,0.00063,0.00017,0.00014,2e-05,,0.0,0.0,4e-05,0.00045,0.0,4e-05,0.0,4e-05,0,0.00035,0.00034,0
24.01,0.00059,0.0005,0.00021,0.00034,5e-05,0.00045,0.00036,0.0,0.0,0.0,0.0,0.00064,0.00017,0.00016,2e-05,,0.0,0.0,5e-05,0.00045,0.0,4e-05,0.0,5e-05,0,0.00034,0.00034,0
25.01,0.00059,0.00051,0.0002,0.00033,5e-05,0.00045,0.00035,0.0,0.0,0.0,0.0,0.00064,0.00018,0.00018,2e-05,,0.0,0.0,5e-05,0.00045,0.0,4e-05,0.0,5e-05,0,0.00034,0.00033,0
26.01,0.00056,0.00048,0.0002,0.00032,6e-05,0.00045,0.00034,0.0,0.0,0.0,0.0,0.00062,0.00019,0.00019,2e-05,,0.0,0.0,6e-05,0.00044,0.0,4e-05,0.0,6e-05,0,0.00034,0.00032,0
27.01,0.00052,0.00045,0.00019,0.0003,6e-05,0.00045,0.00032,0.0,0.0,0.0,0.0,0.00061,0.00019,0.00021,2e-05,,0.0,0.0,6e-05,0.00044,0.0,4e-05,0.0,6e-05,0,0.00034,0.0003,0
