time,Muttonpulao_02_Ghrelin,Cholebhature_01_Ghrelin,Curdrice_01_Ghrelin,Lemonrice_01_Ghrelin,Pasta_01_Ghrelin,Masaladosa_01_Ghrelin,Vegetable_Biryani_01_Ghrelin,Rapid_starch_01_Ghrelin,Chickenbreast_01_Ghrelin,Rice_01_Ghrelin,Eggwhite_01_Ghrelin,Paneer_01_Ghrelin,Milk_Chocolate_01_Ghrelin,Peanuts_01_Ghrelin,Curd_01_Ghrelin,Glucose_01_Ghrelin,Biscuit_01_Ghrelin,Glucose_02_Ghrelin,Bread_Meal_01_100_Ghrelin,Chickensandwich_01_Ghrelin,Ghee_01_Ghrelin,Apple_Pineapplesalad_01_Ghrelin,Spinach_01_Ghrelin,Bread_meal_02_Ghrelin,Orange_01_Ghrelin,Omelette_01_Ghrelin,Muttonpulao_01_Ghrelin,Arabinose_01_Ghrelin
1.01,13.87826,13.7802,13.76799,13.8339,14.4624,14.04493,13.72523,14.49877,14.51895,14.47364,14.51899,14.06117,14.50468,14.47171,14.49441,10.02333,14.51899,10.02333,14.45975,14.02602,14.51899,13.91839,14.51365,14.45975,14.42581,14.03691,13.8339,10.40856
2.01,9.84148,9.46506,9.9924,10.18367,13.27948,10.71362,9.64776,13.593,14.51843,13.51411,14.51898,9.82812,14.15224,14.1961,14.36602,6.07184,14.50036,6.07184,13.20394,10.41883,14.51898,10.52382,14.47423,13.20394,13.9191,10.29466,10.18367,6.30523
3.01,5.9805,5.73954,6.14137,6.24119,11.60507,6.59014,5.86683,11.81741,14.51716,11.92731,14.51893,5.95684,13.07053,13.65309,14.05669,3.67814,14.41048,3.67814,11.42651,6.36198,14.51893,6.76174,14.36455,11.42651,13.06334,6.27582,6.24119,3.81952
4.01,3.62281,3.47684,3.72057,3.78084,9.73763,3.99228,3.55396,9.47009,14.5156,10.14251,14.51878,3.60847,11.18747,12.79026,13.41069,2.22811,14.23033,2.22811,9.35928,3.85392,14.51878,4.14335,14.13208,9.35928,12.06865,3.80172,3.78084,2.31375
5.01,2.19459,2.10617,2.25381,2.29032,7.80954,2.41841,2.15288,6.80583,14.51419,8.30168,14.51843,2.18591,8.82312,11.58968,12.32899,1.34972,13.95314,1.34972,7.2089,2.33459,14.51843,2.51474,13.72872,7.2089,11.03753,2.30297,2.29032,1.4016
6.01,1.32942,1.27585,1.36529,1.38741,5.98168,1.465,1.30415,4.46277,14.513,6.50977,14.5178,1.32416,6.45725,10.09993,10.82919,0.81762,13.56926,0.81762,5.24352,1.41422,14.5178,1.52387,13.13136,5.24352,10.01352,1.39507,1.38741,0.84905
7.01,0.80532,0.77287,0.82705,0.84045,4.39122,0.88745,0.79002,2.79232,14.51185,4.89262,14.5168,0.80214,4.4523,8.43752,9.0678,0.49529,13.07109,0.49529,3.64129,0.8567,14.5168,0.92319,12.3493,3.64129,9.03063,0.84509,0.84045,0.51433
8.01,0.48784,0.46818,0.501,0.50912,3.10977,0.53759,0.47857,1.72184,14.51049,3.54157,14.51537,0.48591,2.94143,6.75734,7.27154,0.30003,12.46486,0.30003,2.44184,0.51896,14.51537,0.55926,11.42044,2.44184,8.12188,0.51193,0.50912,0.31157
9.01,0.29552,0.28361,0.30349,0.30841,2.13802,0.32566,0.2899,1.05631,14.50872,2.48315,14.51345,0.29435,1.88862,5.2026,5.63247,0.18175,11.76457,0.18175,1.59541,0.31437,14.51345,0.33879,10.40153,1.59541,7.30924,0.31011,0.30841,0.18874
10.01,0.17902,0.1718,0.18385,0.18683,1.43482,0.19727,0.17561,0.64651,14.50641,1.69584,14.51099,0.17831,1.19056,3.86812,4.25587,0.1101,10.98558,0.1101,1.02254,0.19044,14.51099,0.20523,9.35672,1.02254,6.59975,0.18786,0.18683,0.11433
