time,Muttonpulao_02_GLP1,Cholebhature_01_GLP1,Curdrice_01_GLP1,Lemonrice_01_GLP1,Pasta_01_GLP1,Masaladosa_01_GLP1,Vegetable_Biryani_01_GLP1,Rapid_starch_01_GLP1,Chickenbreast_01_GLP1,Rice_01_GLP1,Eggwhite_01_GLP1,Paneer_01_GLP1,Milk_Chocolate_01_GLP1,Peanuts_01_GLP1,Curd_01_GLP1,Glucose_01_GLP1,Biscuit_01_GLP1,Glucose_02_GLP1,Bread_Meal_01_100_GLP1,Chickensandwich_01_GLP1,Ghee_01_GLP1,Apple_Pineapplesalad_01_GLP1,Spinach_01_GLP1,Bread_meal_02_GLP1,Orange_01_GLP1,Omelette_01_GLP1,Muttonpulao_01_GLP1,Arabinose_01_GLP1
1.01,3e-05,5e-05,7e-05,8e-05,0.0,5e-05,8e-05,0.0,0.0,0.0,0.0,1e-05,0.0,0.0,0.0,0.00374,0.0,0.00374,0.0,5e-05,0.0,1e-05,0.0,0.0,0.0,2e-05,8e-05,0
2.01,0.00354,0.00492,0.00463,0.00476,0.00084,0.00364,0.00511,0.00042,0.0,0.00063,0.0,0.00168,8e-05,0.00027,0.00016,0.08032,0.0,0.08032,0.00099,0.00361,0.0,0.00078,4e-05,0.00099,0.00027,0.00176,0.00476,0
3.01,0.02096,0.02942,0.02828,0.0268,0.00668,0.01992,0.03023,0.00621,0.0,0.00588,0.0,0.01058,0.00121,0.00188,0.00107,0.24996,0.00019,0.25032,0.00821,0.02121,0.0,0.00588,0.00034,0.00821,0.00162,0.01114,0.0268,0
4.01,0.05566,0.07567,0.07383,0.06756,0.0201,0.04629,0.07815,0.02789,0.0,0.01954,0.0,0.02724,0.00533,0.00583,0.00343,0.4764,0.00131,0.48157,0.027,0.05419,0.0,0.01833,0.00126,0.027,0.00457,0.02935,0.06756,0
5.01,0.10349,0.13491,0.13359,0.12039,0.04294,0.07691,0.14083,0.07751,1e-05,0.04413,0.0,0.04784,0.01425,0.01287,0.00769,0.74769,0.00412,0.76784,0.06199,0.09526,0.0,0.03762,0.00307,0.06199,0.00909,0.05303,0.12039,0
6.01,0.15875,0.19753,0.20307,0.18131,0.07682,0.11064,0.21158,0.15752,1e-05,0.08127,0.0,0.06843,0.02879,0.02344,0.01389,1.03479,0.00922,1.07726,0.11421,0.13929,0.0,0.06194,0.00587,0.11421,0.01493,0.07825,0.18131,0
7.01,0.21637,0.25366,0.27965,0.24848,0.12187,0.14581,0.28435,0.261,1e-05,0.13118,0.0,0.08714,0.04816,0.03755,0.02171,1.30995,0.0172,1.37911,0.18035,0.18443,0.0,0.0896,0.00968,0.18035,0.02181,0.1015,0.24848,0
8.01,0.27286,0.29564,0.35993,0.32054,0.17603,0.17976,0.35261,0.38101,1e-05,0.1924,0.0,0.10402,0.07041,0.05479,0.03067,1.56306,0.02858,1.66671,0.25531,0.22965,0.0,0.11914,0.01441,0.25531,0.02944,0.1207,0.32054,0
9.01,0.32628,0.32072,0.43941,0.39628,0.23593,0.21114,0.41131,0.51274,1e-05,0.26277,0.0,0.11954,0.09329,0.07453,0.04023,1.79704,0.04381,1.94934,0.33473,0.27378,0.0,0.14936,0.01991,0.33473,0.03754,0.13615,0.39628,0
10.01,0.3753,0.33151,0.51323,0.47482,0.29824,0.24019,0.45772,0.65198,1e-05,0.34041,0.0,0.13408,0.11491,0.09616,0.04991,2.01972,0.06319,2.23824,0.41568,0.31573,0.0,0.17928,0.02594,0.41568,0.04591,0.14933,0.47482,0
11.01,0.41877,0.33419,0.57715,0.55559,0.36039,0.26771,0.49008,0.79464,1e-05,0.42397,0.0,0.14786,0.13415,0.11919,0.05928,2.23848,0.08701,2.53626,0.4964,0.35496,0.0,0.20813,0.03228,0.4964,0.05438,0.1614,0.55559,0
12.01,0.45576,0.33442,0.62813,0.63795,0.42053,0.29415,0.50716,0.93727,1e-05,0.51251,0.0,0.16103,0.15064,0.14328,0.06814,2.4577,0.11548,2.83635,0.57567,0.39151,0.0,0.23523,0.03877,0.57567,0.06285,0.17295,0.63795,0
13.01,0.48585,0.33558,0.66439,0.72094,0.47726,0.3194,0.50946,1.07759,1e-05,0.60525,0.0,0.17367,0.16458,0.16821,0.07642,2.67811,0.14875,3.12767,0.65249,0.42579,0.0,0.26004,0.04531,0.65249,0.07128,0.18423,0.72094,0
14.01,0.50942,0.33917,0.68512,0.80314,0.52955,0.34315,0.50112,1.21457,1e-05,0.70151,0.0,0.18585,0.17645,0.19385,0.08415,2.89754,0.18691,3.40219,0.72597,0.45828,0.0,0.28218,0.05187,0.72597,0.07961,0.19533,0.80314,0
15.01,0.5277,0.34561,0.69011,0.88273,0.57666,0.36521,0.489,1.34814,2e-05,0.80059,0.0,0.19759,0.1868,0.22012,0.09137,3.10951,0.23003,3.65705,0.7953,0.48941,0.0,0.30149,0.05841,0.7953,0.08783,0.20625,0.88273,0
16.01,0.54233,0.35477,0.68003,0.9577,0.61812,0.38569,0.47891,1.47881,2e-05,0.90179,0.0,0.20892,0.19608,0.24697,0.09811,3.30514,0.27811,3.89368,0.85975,0.51942,0.0,0.31801,0.0649,0.85975,0.09595,0.21696,0.9577,0
17.01,0.55484,0.36619,0.65735,1.02595,0.65361,0.40497,0.47361,1.60735,2e-05,1.00437,0.0,0.21985,0.20462,0.27436,0.10442,3.47708,0.33107,4.11604,0.91868,0.54848,0.0,0.33203,0.07134,0.91868,0.10397,0.22744,1.02595,0
18.01,0.56635,0.37924,0.62765,1.08545,0.68301,0.42351,0.47347,1.73455,2e-05,1.10762,0.0,0.23039,0.21258,0.30228,0.11034,3.62153,0.38878,4.32918,0.97155,0.57662,0.0,0.34403,0.07771,0.97155,0.11192,0.23766,1.08545,0
19.01,0.5775,0.39327,0.59831,1.13423,0.70638,0.44168,0.47771,1.86106,2e-05,1.21086,0.0,0.24056,0.21998,0.33067,0.1159,3.73761,0.45106,4.53663,1.01792,0.60388,0.0,0.35459,0.084,1.01792,0.11982,0.24762,1.13423,0
20.01,0.58858,0.40766,0.57474,1.17042,0.72403,0.45965,0.48518,1.98726,2e-05,1.31347,0.0,0.25037,0.2268,0.35952,0.12113,,0.51771,4.7379,1.0575,0.63029,0.0,0.36431,0.09021,1.0575,0.12766,0.25729,1.17042,0
21.01,0.59966,0.42194,0.55879,1.19235,0.73644,0.47744,0.49478,2.11329,2e-05,1.41496,0.0,0.25984,0.23305,0.38878,0.12607,,0.58853,4.9305,1.09007,0.65588,0.0,0.37368,0.09633,1.09007,0.13547,0.26669,1.19235,0
22.01,0.61071,0.43578,0.54996,1.19916,0.7442,0.49491,0.50555,2.23907,2e-05,1.51491,0.0,0.26898,0.23878,0.41842,0.13074,,0.66331,5.11301,1.11555,0.68076,0.0,0.38306,0.10236,1.11555,0.14324,0.27582,1.19916,0
23.01,0.62166,0.44897,0.54689,1.19168,0.74806,0.51188,0.51678,2.36444,2e-05,1.61299,0.0,0.27779,0.24408,0.4484,0.13518,,0.74186,5.28494,1.13396,0.70504,0.0,0.39265,0.1083,1.13396,0.15098,0.28467,1.19168,0
24.01,0.63241,0.46141,0.54811,1.17315,0.74888,0.5282,0.52796,2.4892,2e-05,1.70894,0.0,0.28629,0.24903,0.47867,0.13941,,0.82403,5.4456,1.14548,0.72886,0.0,0.40253,0.11415,1.14548,0.15871,0.29327,1.17315,0
25.01,0.64291,0.47311,0.55231,1.14848,0.74753,0.54384,0.53875,2.61322,2e-05,1.8026,0.0,0.29448,0.25372,0.50922,0.14345,,0.90964,5.59444,1.15047,0.75235,0.0,0.41272,0.11991,1.15049,0.16644,0.30161,1.14848,0
26.01,0.65311,0.48406,0.55845,1.12216,0.74493,0.55889,0.54893,2.73642,3e-05,1.89385,0.0,0.30237,0.25821,0.54001,0.14732,,0.99854,5.73128,1.14948,0.77562,0.0,0.42319,0.12557,1.14963,0.17418,0.30969,1.12216,0
27.01,0.66298,0.49434,0.56569,1.09692,0.74186,0.57351,0.5584,2.8588,3e-05,1.98256,0.0,0.30998,0.26254,0.57103,0.15103,,1.09061,5.8542,1.14312,0.79878,0.0,0.43387,0.13115,1.1438,0.18196,0.31754,1.09692,0
28.01,0.67251,0.50398,0.5734,1.07377,0.73882,0.5879,0.56711,2.98046,3e-05,2.06859,0.0,0.3173,0.26675,0.60225,0.15461,,1.18569,5.96282,1.13198,0.82188,0.0,0.4447,0.13663,1.1342,0.18978,0.32514,1.07377,0
29.01,0.6817,0.51306,0.58112,1.05273,0.73581,0.60217,0.57508,3.10162,3e-05,2.15173,0.0,0.32435,0.27084,0.63367,0.15807,,1.28367,6.05659,1.11661,0.84495,0.0,0.45562,0.14203,1.12217,0.19766,0.3325,1.05273,0
30.01,0.69054,0.52162,0.58852,1.03341,0.73254,0.61638,0.58235,3.22261,3e-05,2.23168,0.0,0.33113,0.27484,0.66527,0.16141,,1.3844,6.1385,1.0975,0.86801,0.0,0.46655,0.14734,1.10903,0.20563,0.33964,1.03341,0
