time,Muttonpulao_02_hunger,Cholebhature_01_hunger,Curdrice_01_hunger,Lemonrice_01_hunger,Pasta_01_hunger,Masaladosa_01_hunger,Vegetable_Biryani_01_hunger,Rapid_starch_01_hunger,Chickenbreast_01_hunger,Rice_01_hunger,Eggwhite_01_hunger,Paneer_01_hunger,Milk_Chocolate_01_hunger,Peanuts_01_hunger,Curd_01_hunger,Glucose_01_hunger,Biscuit_01_hunger,Glucose_02_hunger,Bread_Meal_01_100_hunger,Chickensandwich_01_hunger,Ghee_01_hunger,Apple_Pineapplesalad_01_hunger,Spinach_01_hunger,Bread_meal_02_hunger,Orange_01_hunger,Omelette_01_hunger,Muttonpulao_01_hunger,Arabinose_01_hunger
1.01,7.34572,7.29952,7.37796,7.42167,7.78566,7.46456,7.32967,7.88451,7.91751,7.81996,7.91742,7.49861,7.90441,7.87049,7.86542,5.76435,7.91697,5.76435,7.77912,7.39284,7.91742,7.63142,7.91134,7.77912,7.81519,7.59618,7.42167,7.91659
2.01,6.79112,6.66396,6.852,6.94245,7.20665,7.10668,6.73064,7.26618,7.91823,7.29748,7.91814,7.01388,7.75156,7.76105,7.72927,5.2199,7.90793,5.21968,7.16416,6.92379,7.91814,7.21427,7.8932,7.16416,7.62952,7.1783,6.94245,7.91657
3.01,6.4191,6.26496,6.50428,6.61695,6.89343,6.93327,6.34201,6.75784,7.91899,6.94583,7.91887,6.74153,7.52649,7.64547,7.6486,4.75784,7.86936,4.74403,6.78579,6.68038,7.91887,6.91197,7.8731,6.78579,7.49186,6.91493,6.61695,7.91668
4.01,6.14274,5.96009,6.20547,6.37192,6.60291,6.82722,6.02053,6.26044,7.91974,6.64147,7.9196,6.57233,7.28287,7.52653,7.62181,4.47767,7.80332,4.44569,6.41763,6.54144,7.9196,6.70865,7.8517,6.41763,7.39151,6.73157,6.37192,7.91709
5.01,5.94755,5.76976,5.91774,6.15186,6.33345,6.71118,5.75707,5.87469,7.92048,6.3632,7.92033,6.49897,7.06721,7.41808,7.62205,4.29222,7.71095,4.2347,6.11924,6.43472,7.92033,6.55663,7.82868,6.11924,7.3066,6.59871,6.15186,7.91765
6.01,5.83683,5.76922,5.67616,5.95622,6.10513,6.62068,5.59983,5.54839,7.92122,6.11261,7.92106,6.46407,6.8953,7.32365,7.61833,4.1272,7.59165,4.02708,5.88363,6.33935,7.92106,6.43635,7.80467,5.88363,7.23349,6.53419,5.95622,7.91821
7.01,5.75894,5.8059,5.49167,5.78568,5.91779,6.56455,5.56595,5.2679,7.92195,5.88808,7.92179,6.4417,6.77092,7.2451,7.60838,3.96536,7.44691,3.81426,5.68922,6.25916,7.92179,6.33982,7.78063,5.68922,7.17172,6.56932,5.78568,7.91874
8.01,5.68706,5.86502,5.37755,5.63645,5.76581,6.52848,5.56933,5.03946,7.92268,5.68423,7.92252,6.42456,6.69082,7.1823,7.59076,3.80988,7.29024,3.6153,5.5231,6.19736,7.92252,6.2614,7.7575,5.5231,7.12045,6.6308,5.63645,7.9193
9.01,5.63031,5.93612,5.32697,5.51316,5.63935,6.49889,5.58727,4.85682,7.92341,5.49643,7.92325,6.40926,6.64811,7.13269,7.56464,3.66796,7.12579,3.44862,5.3781,6.15106,7.92325,6.19761,7.73611,5.3781,7.07448,6.67292,5.51316,7.91983
10.01,5.58933,5.99141,5.30396,5.41748,5.53235,6.47238,5.62883,4.70865,7.92414,5.32227,7.92397,6.39352,6.63083,7.09332,7.53995,3.54509,6.95444,3.31741,5.25217,6.11691,7.92397,6.14631,7.71725,5.25217,7.03491,6.68844,5.41748,7.92027
11.01,5.56262,6.02434,5.32785,5.3291,5.44153,6.45004,5.6853,4.58475,7.92486,5.16185,7.92469,6.37615,6.62842,7.06059,7.51861,3.44302,6.77592,3.21189,5.14368,6.09082,7.92469,6.10634,7.70071,5.14368,7.00238,6.68329,5.3291,7.92058
12.01,5.54678,6.03259,5.37861,5.24514,5.36678,6.43309,5.74541,4.47767,7.92557,5.01398,7.92541,6.35724,6.63255,7.03122,7.49896,3.3602,6.59699,3.12011,5.05242,6.06909,7.92541,6.07701,7.68623,5.05242,6.97703,6.66641,5.24514,7.92093
13.01,5.53612,6.01324,5.43636,5.17015,5.3076,6.42147,5.78944,4.37947,7.92629,4.87678,7.92612,6.33769,6.6382,7.00312,7.48087,3.29335,6.41974,3.03404,4.97672,6.04939,7.92612,6.05761,7.67372,4.97672,6.9585,6.64613,5.17015,7.92122
14.01,5.52454,5.97115,5.49804,5.10534,5.2621,6.4137,5.80193,4.28624,7.92699,4.74824,7.92683,6.31859,6.64173,6.97532,7.46401,3.23988,6.24337,2.94991,4.91458,6.03061,7.92683,6.0473,7.66325,4.91458,6.94563,6.62716,5.10534,7.92149
15.01,5.50917,5.92052,5.56683,5.05182,5.22894,6.40775,5.78994,4.20234,7.9277,4.62827,7.92754,6.3009,6.64192,6.94744,7.44812,4.38263,6.07148,2.86681,4.8654,6.01245,7.92754,6.04496,7.65474,4.8654,6.93726,6.61102,5.05182,7.92177
16.01,5.49189,5.87385,5.64127,5.01114,5.20817,6.40203,5.76854,4.12327,7.92839,4.51705,7.92824,6.28541,6.64076,6.91939,7.4333,4.3478,5.90543,2.78532,4.82838,5.99506,7.92824,6.04914,7.6477,4.82838,6.93307,6.59786,5.01114,7.92201
17.01,5.47644,5.83676,5.70852,4.98511,5.19826,6.39581,5.74759,4.0481,7.92909,4.41491,7.92893,6.27276,6.64081,6.89151,7.41988,4.24689,5.74404,2.70672,4.80236,5.9789,7.92893,6.05818,7.64167,4.80236,6.93323,6.58745,4.98511,7.9222
18.01,5.46675,5.81092,5.75397,4.97547,5.19757,6.38929,5.73198,3.97348,7.92977,4.32239,7.92962,6.26342,6.64259,6.8642,7.40894,3.13554,5.58769,3.10392,4.78626,5.96462,7.92962,6.07041,7.63647,4.78626,6.93786,6.57936,4.97547,7.92238
19.01,5.46564,5.79685,5.77929,4.98393,5.20439,6.38325,5.72389,3.89984,7.93045,4.24031,7.9303,6.2574,6.64515,6.83811,7.40215,3.11252,5.43749,3.4255,4.77873,5.95299,7.9303,6.0844,7.63206,4.77873,6.94718,6.57298,4.98393,7.92255
20.01,5.47469,5.79488,5.79242,5.01178,5.21728,6.37887,5.72378,3.84402,7.93113,4.16976,7.93098,6.2538,6.64694,6.81405,7.40181,,5.29336,2.86854,4.77918,5.94484,7.93098,6.0989,7.62852,4.77918,6.96182,6.56765,5.01178,7.9227
21.01,5.49359,5.80438,5.79749,5.05852,5.23448,6.37703,5.73015,3.79568,7.9318,4.11205,7.93165,6.25048,6.64597,6.79215,7.40892,,5.15367,2.73787,4.78646,5.94034,7.93165,6.11282,7.62587,4.78646,6.98209,6.5626,5.05852,7.92287
22.01,5.51902,5.82288,5.79664,5.11922,5.2539,6.37721,5.73989,3.7504,7.93246,4.06809,7.93232,6.24425,6.64116,6.77074,7.41916,,5.01885,2.40582,4.79968,5.93756,7.93232,6.12535,7.62392,4.79968,7.0057,6.55706,5.11922,7.92306
23.01,5.5378,5.83872,5.79035,5.18259,5.27399,6.37915,5.74675,3.70209,7.93312,4.03583,7.93298,6.23334,6.63182,6.74853,7.43065,,4.88977,3.55207,4.81785,5.93555,7.93298,6.13584,7.62249,4.81801,7.0315,6.55055,5.18259,7.92323
24.01,5.53212,5.83303,5.77862,5.23565,5.29367,6.382,5.7447,3.65123,7.93377,4.00911,7.93363,6.22086,6.61784,6.72355,7.44047,,4.76567,2.45944,4.83958,5.93287,7.93363,6.14394,7.62142,4.8412,7.05752,6.54271,5.23565,7.92338
25.01,5.52268,5.81763,5.76218,5.27197,5.31159,6.38434,5.73147,3.60268,7.93442,3.98204,7.93428,6.21307,6.59989,6.69331,7.44497,,4.64623,2.51883,4.86561,5.92773,7.93428,6.1496,7.62046,4.86884,7.08067,6.53316,5.27197,7.92354
26.01,5.53115,5.80988,5.74458,5.2925,5.3268,6.38432,5.7089,3.56156,7.93507,3.95395,7.93493,6.20865,6.57971,6.6555,7.43915,,4.53287,3.48571,4.89832,5.91802,7.93493,6.15301,7.61929,4.89987,7.09592,6.52199,5.2925,7.92372
27.01,5.53147,5.79253,5.72949,5.30547,5.34062,6.38345,5.68482,3.51438,7.9357,3.92587,7.93557,6.20307,6.55911,6.6146,7.42941,,4.42448,2.29444,4.93812,5.90675,7.93557,6.15431,7.61825,4.93215,7.10846,6.51108,5.30547,7.92382
28.01,5.51889,5.76442,5.71697,5.31493,5.35569,6.38249,5.66198,3.46571,7.93634,3.89878,7.9362,6.19572,6.53879,6.57248,7.41916,,4.31973,3.48383,4.98437,5.89532,7.9362,6.15381,7.61749,4.96325,7.12101,6.50098,5.31493,7.92386
29.01,5.49909,5.73241,5.70692,5.32328,5.37461,6.38147,5.64192,3.41474,7.93697,3.8737,7.93683,6.18691,6.51928,6.5294,7.40862,,4.21847,3.50199,5.03645,5.88382,7.93683,6.15193,7.61703,4.99231,7.13351,6.4918,5.32328,7.92388
