time,Muttonpulao_02_PYY,Cholebhature_01_PYY,Curdrice_01_PYY,Lemonrice_01_PYY,Pasta_01_PYY,Masaladosa_01_PYY,Vegetable_Biryani_01_PYY,Rapid_starch_01_PYY,Chickenbreast_01_PYY,Rice_01_PYY,Eggwhite_01_PYY,Paneer_01_PYY,Milk_Chocolate_01_PYY,Peanuts_01_PYY,Curd_01_PYY,Glucose_01_PYY,Biscuit_01_PYY,Glucose_02_PYY,Bread_Meal_01_100_PYY,Chickensandwich_01_PYY,Ghee_01_PYY,Apple_Pineapplesalad_01_PYY,Spinach_01_PYY,Bread_meal_02_PYY,Orange_01_PYY,Omelette_01_PYY,Muttonpulao_01_PYY,Arabinose_01_PYY
1.01,0.04346,0.04347,0.04346,0.04347,0.0434,0.04345,0.04348,0.0434,0.0434,0.0434,0.0434,0.04347,0.0434,0.0434,0.0434,0.04516,0.0434,0.04516,0.0434,0.04347,0.0434,0.04341,0.0434,0.0434,0.0434,0.04347,0.04347,0.0434
2.01,0.05076,0.05358,0.04872,0.04917,0.04382,0.0482,0.05123,0.04359,0.04341,0.04371,0.04341,0.05407,0.04347,0.04369,0.04358,0.12358,0.04341,0.12358,0.04389,0.05065,0.04341,0.0445,0.04349,0.04389,0.04355,0.05097,0.04917,0.04341
3.01,0.10354,0.12751,0.08992,0.08876,0.04732,0.08107,0.1088,0.04634,0.04343,0.04672,0.04342,0.12959,0.04457,0.04593,0.04528,0.57919,0.0435,0.58318,0.04818,0.10375,0.04342,0.05537,0.04428,0.04818,0.04446,0.10708,0.08876,0.04342
4.01,0.24985,0.32229,0.2069,0.19498,0.05748,0.16682,0.26532,0.05823,0.04345,0.05639,0.04343,0.321,0.05039,0.05336,0.05216,1.76804,0.04404,1.83414,0.06188,0.25121,0.04343,0.09399,0.04728,0.06188,0.04705,0.25757,0.19498,0.04343
5.01,0.52099,0.65492,0.41701,0.3851,0.0787,0.31563,0.53902,0.09187,0.04347,0.07752,0.04343,0.63423,0.06825,0.07071,0.06993,3.89634,0.04551,4.21599,0.09298,0.5206,0.04343,0.1769,0.05444,0.09298,0.05217,0.5151,0.3851,0.04344
6.01,0.93301,1.11741,0.72193,0.66619,0.11666,0.52853,0.92821,0.16273,0.0435,0.11577,0.04345,1.04989,0.10771,0.10421,0.10455,7.04324,0.04841,7.92476,0.15072,0.92292,0.04345,0.31418,0.06767,0.15072,0.0604,0.86926,0.66619,0.04345
7.01,1.49189,1.69167,1.11862,1.04056,0.17763,0.80088,1.42465,0.28224,0.04353,0.17715,0.04346,1.54301,0.17766,0.16076,0.16052,11.23126,0.05328,13.02546,0.2434,1.46036,0.04346,0.51023,0.0887,0.2434,0.07198,1.30119,1.04056,0.04346
8.01,2.19654,2.35519,1.6027,1.50814,0.26724,1.12481,2.01707,0.45584,0.04356,0.26702,0.04347,2.09122,0.28423,0.24696,0.24005,16.46883,0.06073,19.51414,0.37699,2.12958,0.04347,0.76495,0.11875,0.37699,0.08697,1.79045,1.50814,0.04348
9.01,3.04066,3.08468,2.1681,2.06753,0.38946,1.49121,2.69192,0.68499,0.04359,0.3897,0.04349,2.67649,0.4301,0.3684,0.34286,22.77538,0.07137,27.36795,0.55508,2.9231,0.04349,1.07512,0.1584,0.55508,0.10529,2.31766,2.06753,0.0435
10.01,4.01388,3.85836,2.80619,2.71667,0.54657,1.89096,3.43393,0.96955,0.04362,0.54851,0.04351,3.28482,0.61504,0.52965,0.46577,30.20182,0.08581,36.57455,0.77949,3.83051,0.04351,1.43649,0.20734,0.77949,0.12683,2.8664,2.71667,0.04352
11.01,5.10238,4.65741,3.50596,3.45303,0.73941,2.31539,4.22555,1.30905,0.04366,0.74604,0.04354,3.90562,0.83699,0.73435,0.60326,38.85571,0.10467,47.14894,1.05086,4.83979,0.04354,1.84481,0.2646,1.05086,0.15143,3.42426,3.45303,0.04354
12.01,6.28956,5.46649,4.25493,4.2736,0.96755,2.75651,5.04738,1.70294,0.0437,0.98423,0.04356,4.53123,1.09291,0.98542,0.7499,48.94359,0.12859,59.14445,1.36881,5.93858,0.04356,2.29594,0.32905,1.36881,0.17892,3.98292,4.2736,0.04356
13.01,7.55692,6.27428,5.03953,5.17504,1.22946,3.20713,5.88068,2.15077,0.04375,1.2645,0.0436,5.15618,1.37931,1.28525,0.90184,60.86101,0.15818,72.66358,1.73214,7.11503,0.0436,2.78578,0.39978,1.73214,0.20913,4.53745,5.17504,0.04358
14.01,8.88533,7.07386,5.84494,6.1538,1.5227,3.66108,6.71078,2.65233,0.0438,1.5878,0.04363,5.77654,1.69253,1.63569,1.05642,75.28614,0.19408,87.87557,2.13882,8.35832,0.04363,3.31027,0.47599,2.13882,0.24183,5.08539,6.1538,0.04361
15.01,10.25637,7.86229,6.65496,7.206,1.84418,4.11338,7.5285,3.20757,0.04386,1.95478,0.04368,6.38927,2.02886,2.03818,1.21165,92.42827,0.23687,105.04933,2.58624,9.65891,0.04368,3.86528,0.55692,2.58624,0.27682,5.62579,7.206,0.04364
16.01,11.65348,8.63977,7.45332,8.32718,2.19048,4.56019,8.32902,3.81663,0.04393,2.36574,0.04373,6.99208,2.38468,2.49375,1.36597,111.47554,0.28714,124.6191,3.07132,11.00856,0.04373,4.44661,0.64187,3.07132,0.31387,6.15839,8.32718,0.04366
17.01,13.06257,9.40833,8.22674,9.51181,2.55791,4.99871,9.11049,4.4799,0.044,2.82045,0.04378,7.58328,2.75657,3.00306,1.5182,130.73339,0.34541,147.3289,3.59054,12.40028,0.04378,5.05001,0.73017,3.59054,0.35277,6.68313,9.51181,0.04369
18.01,14.47232,10.17072,8.96751,10.75299,2.94265,5.42703,9.87299,5.1983,0.04408,3.31806,0.04385,8.16169,3.14114,3.56644,1.6675,148.56223,0.41213,174.57624,4.14012,13.8282,0.04385,5.67126,0.8212,4.14012,0.39328,7.19994,10.75299,0.04372
19.01,15.87404,10.92952,9.67315,12.04212,3.34102,5.84387,10.61773,5.97338,0.04417,3.8572,0.04392,8.72647,3.53471,4.18393,1.81327,164.00697,0.48768,207.95703,4.71612,15.2874,0.04392,6.30626,0.91441,4.71612,0.4352,7.70869,12.04212,0.04374
20.01,17.26137,11.68671,10.34393,13.36872,3.74962,6.24841,11.34647,6.80697,0.04427,4.4362,0.044,9.27703,3.93291,4.85528,1.9551,,0.57241,246.87713,5.31461,16.77375,0.044,6.95099,1.00926,5.31461,0.4783,8.20925,13.36872,0.04377
21.01,18.62985,12.4435,10.98134,14.72062,4.16532,6.64016,12.06096,7.70121,0.04438,5.05318,0.04409,9.81304,4.33107,5.58004,2.09279,,0.66654,287.82186,5.93172,18.28384,0.04409,7.60157,1.10529,5.93172,0.52237,8.70154,14.72062,0.0438
22.01,19.97654,13.20041,11.58758,16.08439,4.58519,7.0188,12.76281,8.65864,0.04449,5.70616,0.04419,10.33434,4.72562,6.35751,2.22624,,0.77025,327.39554,6.56362,19.81478,0.04419,8.25442,1.20209,6.56362,0.56722,9.18551,16.08439,0.04383
23.01,21.29956,13.95742,12.16538,17.44629,5.00645,7.38419,13.45324,9.68251,0.04462,6.39308,0.0443,10.84097,5.11427,7.18683,2.35545,,0.88367,363.899,7.20662,21.36417,0.0443,8.90633,1.29925,7.20662,0.61264,9.66112,17.44629,0.04385
24.01,22.59782,14.71407,12.71764,18.79312,5.42653,7.73628,14.13314,10.77733,0.04476,7.11194,0.04442,11.33309,5.49545,8.06695,2.48051,,1.00683,397.1397,7.85724,22.93,0.04442,9.55467,1.39645,7.85725,0.65847,10.12839,18.79312,0.04388
25.01,23.87074,15.46967,13.24715,20.11241,5.84355,8.07515,14.80302,11.94886,0.04492,7.86092,0.04455,11.81098,5.86807,8.99664,2.60152,,1.13972,428.18767,8.51229,24.51061,0.04455,10.19732,1.49338,8.51233,0.70452,10.58729,20.11241,0.0439
26.01,25.118,16.22336,13.75638,21.39233,6.25674,8.40096,15.46309,13.20395,0.04508,8.63834,0.0447,12.27494,6.23141,9.97454,2.71864,,1.28226,459.03694,9.16875,26.10458,0.0447,10.8326,1.58977,9.16887,0.75067,11.03778,21.39233,0.04393
27.01,26.33951,16.97421,14.24728,22.62174,6.66593,8.71399,16.1133,14.55073,0.04525,9.4426,0.04485,12.72534,6.58505,10.9991,2.83204,,1.43432,491.88191,9.82343,27.71071,0.04485,11.45916,1.68539,9.82414,0.79676,11.47976,22.62174,0.04396
28.01,27.53524,17.72125,14.72131,23.79061,7.07081,9.01455,16.75346,15.99901,0.04544,10.27203,0.04502,13.16255,6.92888,12.06867,2.94188,,1.59569,530.70622,10.47252,29.32793,0.04502,12.07592,1.78004,10.47558,0.8427,11.91312,23.79061,0.04398
29.01,28.70524,18.46355,15.1794,24.89053,7.47049,9.30293,17.38326,17.56114,0.04564,11.12473,0.04519,13.58692,7.26299,13.18145,3.04835,,1.76614,582.95809,11.11093,30.95529,0.04519,12.68198,1.87354,11.12069,0.88838,12.33768,24.89053,0.04401
30.01,29.8496,19.20018,15.62203,25.91521,7.8636,9.57943,18.00234,19.25288,0.04585,11.99849,0.04538,13.9988,7.58768,14.33555,3.15163,,1.94536,666.69558,11.73236,32.59193,0.04538,13.27663,1.96573,11.75693,0.93371,12.75325,25.91521,0.04403
31.01,30.96841,19.93025,16.04927,26.86076,8.24847,9.84427,18.61033,21.09418,0.04607,12.89072,0.04558,14.39851,7.90341,15.52897,3.25188,,2.13304,870.26414,12.33056,34.237,0.04558,13.85926,2.0565,12.38188,0.97862,13.15963,26.86076,0.04406
32.01,32.06175,20.65285,16.46086,27.72573,8.6235,10.0976,19.2069,23.11023,0.04631,13.79841,0.0458,14.78637,8.21071,16.75967,3.34929,,2.32886,3423.52738,12.89989,35.88966,0.0458,14.42941,2.14573,12.99372,1.02305,13.55662,27.72573,0.04408
33.01,33.1297,21.36709,16.85618,28.51094,8.9874,10.33953,19.79179,25.33338,0.04656,14.71807,0.04603,15.16269,8.51021,18.02549,3.44401,,2.53253,5159.71823,13.43528,37.54908,0.04603,14.98669,2.23335,13.59119,1.06697,13.94402,28.51094,0.04411
34.01,34.17232,22.07213,17.23439,29.2192,9.33935,10.5701,20.36468,27.80632,0.04682,15.64578,0.04627,15.52775,8.8026,19.32428,3.53618,,2.7437,5300.66774,13.93262,39.21437,0.04627,15.53077,2.3193,14.17343,1.11032,14.32168,29.2192,0.04413
35.01,35.18967,22.76717,17.59458,29.85488,9.67893,10.78929,20.92521,30.58756,0.0471,16.57718,0.04652,15.88184,9.08856,20.65384,3.62595,,2.96202,5033.30407,14.38934,40.8846,0.04652,16.0614,2.40353,14.73984,1.15308,14.68944,29.85488,0.04416
36.01,36.18181,23.45148,17.93608,30.42337,10.00598,10.99701,21.47297,33.76051,0.04739,17.50752,0.04679,16.22522,9.36879,22.01193,3.71345,,3.18707,4716.55256,14.8049,42.55879,0.04679,16.57836,2.48601,15.29008,1.19525,15.04718,30.42337,0.04419
37.01,37.1488,24.12438,18.25853,30.93057,10.32049,11.19305,22.00758,37.45023,0.04769,18.43172,0.04707,16.55814,9.644,23.39631,3.7988,,3.41844,4426.00942,15.18073,44.23593,0.04707,17.08146,2.56674,15.8241,1.23679,15.39478,30.93057,0.04421
38.01,38.09071,24.78525,18.56187,31.38248,10.62259,11.37719,22.52863,41.8577,0.04802,19.34458,0.04737,16.88082,9.91484,24.80468,3.88212,,3.65574,4173.64275,15.51939,45.91496,0.04737,17.57057,2.64571,16.34205,1.27771,15.73218,31.38248,0.04424
39.01,39.00757,25.43351,18.84624,31.78492,10.91251,11.54933,23.03577,47.34818,0.04835,20.24095,0.04769,17.1935,10.18194,26.23474,3.96352,,3.89871,3957.23303,15.82352,47.5948,0.04769,18.04553,2.72295,16.84421,1.31801,16.05928,31.78492,0.04427
40.01,39.89937,26.06859,19.11193,32.1433,11.19063,11.70961,23.52865,54.75099,0.04871,21.11625,0.04802,17.49642,10.44592,27.68419,4.0431,,4.14723,3771.63181,16.09541,49.27433,0.04802,18.50619,2.79848,17.33106,1.3577,16.37602,32.1433,0.0443
41.01,40.76602,26.68996,19.35937,32.46254,11.4574,11.85844,24.00695,67.25501,0.04908,21.9672,0.04837,17.78982,10.7073,29.15083,4.12095,,4.40135,3611.99629,16.33704,50.95242,0.04837,18.95232,2.87236,17.80321,1.39677,16.68237,32.46254,0.04433
42.01,41.60727,27.29711,19.58903,32.74697,11.7134,11.99629,24.47039,154.07862,0.04947,22.79291,0.04873,18.07394,10.96659,30.63272,4.19715,,4.66136,3474.14772,16.55035,52.62794,0.04873,19.38351,2.94465,18.26136,1.43525,16.97828,32.74697,0.04436
